PA13110405170,06,1,357000,2013/11/11,2018/12/15,,,,,,,2016/08/17
PA13051602721,06,1,792000,2013/05/10,2018/06/15,,,,,,,2016/08/17
PA13103005089,06,1,498000,2013/10/30,2018/05/15,,0,,,,,2016/08/17
PA15070102911,06,1,129500,2015/06/23,2018/07/15,,,,,,,2016/08/17
PA16012600166,06,1,246960,2016/01/26,2020/02/15,,0,,,,,2016/08/17
PA14110503344,06,1,340000,2014/11/08,2018/11/15,,0,,,,,2016/08/17
PA13091604655,06,1,408000,2013/09/04,2018/09/15,,0,,,,,2016/08/17
PA14030800642,06,1,498440,2014/02/27,2019/03/15,,,,,,,2016/08/17
PA14010300031,06,1,192400,2013/12/20,2019/01/15,,,,,,,2016/08/17
PA13090404566,06,1,4277282,2013/09/02,2019/03/15,,0,,,,,2016/08/17
PA15081803329,06,1,502866,2015/08/19,2018/12/15,,0,,,,,2016/08/17
PA16041601603,06,1,253500,2016/04/24,2019/05/15,,0,,,,,2016/08/17
PA15082803438,06,1,255000,2015/08/27,2018/09/15,,,,,,,2016/08/17
PA16031100640,06,1,219800,2016/03/14,2019/09/15,,0,,,,,2016/08/17
PA16070102736,06,1,830000,2016/07/17,2021/08/15,,0,,,,,2016/08/17
PA16072402901,06,1,155550,2016/07/24,2020/02/15,,,,,,,2016/08/17
