PA12101804446,1,,0,2016/06/24,2016/10/10
PA11122306076,1,,0,2015/11/24,2016/10/10
PA13050802478,1,,0,2015/09/30,2016/10/10
PA13122105845,1,,0,2016/02/19,2016/10/10
PA13051502675,1,,0,2016/06/02,2016/10/10
PA13122605947,1,,0,2016/02/19,2016/10/10
PA11101304651,1,,0,2013/01/24,2016/10/10
PA13061903494,1,,0,2016/05/31,2016/10/10
PA12051302611,1,,0,2015/11/25,2016/10/10
PA11110705335,1,,0,2015/09/30,2016/10/10
PA13042402164,1,,0,2015/11/25,2016/10/10
PA13052202909,1,,0,2015/11/25,2016/10/10
PA13061803443,1,,0,2016/02/21,2016/10/10
PA14032700938,1,,0,2016/02/20,2016/10/10
PA11092304225,1,,0,2016/02/17,2016/10/10
PA13020500304,1,,0,2015/11/25,2016/10/10
PA13051102569,1,,0,2015/09/29,2016/10/10
PA12040601651,1,,0,2015/12/21,2016/10/10
PA12041601975,1,,0,2015/09/30,2016/10/10
PA12070603460,1,,0,2016/02/21,2016/10/10
PA12092804293,1,,0,2016/02/23,2016/10/10
PA12030600883,1,,0,2015/11/24,2016/10/10
PA12090804102,1,,0,2015/09/30,2016/10/10
PA12040901773,1,,0,2015/12/21,2016/10/10
PA12090604085,1,,0,2015/11/25,2016/10/10
PA12031101038,1,,0,2016/02/23,2016/10/10
PA12102904546,1,,0,2015/12/21,2016/10/10
PA12071103512,1,,0,2015/12/21,2016/10/10
PA13060503208,1,,0,2016/03/10,2016/10/10
PA12111604728,1,,0,2015/12/11,2016/10/10
PA12020500354,1,,0,2016/02/23,2016/10/10
PA12040801701,1,,0,2015/12/21,2016/10/10
PA13022100392,1,,0,2015/09/29,2016/10/10
PA12042102127,1,,0,2015/11/25,2016/10/10
PA13012100191,1,,0,2016/05/31,2016/10/10
PA13073004170,1,,0,2016/02/19,2016/10/10
PA14030100518,1,,0,2015/09/29,2016/10/10
PA13030600609,1,,0,2015/12/21,2016/10/10
PA13051802789,1,,0,2015/09/29,2016/10/10
PA13071103902,1,,0,2015/12/21,2016/10/10
PA13033101295,1,,0,2015/12/21,2016/10/10
PA13041101671,1,,0,2016/08/05,2016/10/10
PA13040401446,1,,0,2015/12/21,2016/10/10
PA12090704095,1,,0,2016/03/11,2016/10/10
PA13042202061,1,,0,2015/12/21,2016/10/10
PA14041701586,1,,0,2016/03/11,2016/10/10
PA13042902289,1,,0,2016/08/12,2016/10/10
PA13042402146,1,,0,2015/09/30,2016/10/10
PA11111705482,1,,0,2015/12/21,2016/10/10
PA14060902384,1,,0,2015/09/30,2016/10/10
PA13050802480,1,,0,2016/01/04,2016/10/10
PA13112105399,1,,0,2016/03/10,2016/10/10
PA14072802791,1,,0,2016/02/20,2016/10/10
PA13051702745,1,,0,2016/07/07,2016/10/10
PA13052402945,1,,0,2016/02/17,2016/10/10
PA13052803046,1,,0,2016/02/18,2016/10/10
PA11040200964,1,,0,2015/09/30,2016/10/10
PA13051602721,1,,0,2016/05/10,2016/10/10
