PA11041201143,2016/02/18,54045,2016/02/18,2016/10/17
PA13030100482,2016/07/07,142163,2016/07/07,2016/10/17
PA11042201422,2015/11/25,237739,2015/11/25,2016/10/17
PA11052402087,2015/01/01,1373991,2015/01/01,2016/10/17
PA13022700449,2016/03/11,120090,2016/03/11,2016/10/17
PA13030100475,2016/03/11,136762,2016/03/11,2016/10/17
PA11041801360,2015/12/21,115315,2015/12/21,2016/10/17
PA11053102191,2016/02/18,54275,2016/02/18,2016/10/17
PA11040200964,2015/09/30,520497,2015/09/30,2016/10/17
PA11082603800,2015/11/24,290678,2015/11/24,2016/10/17
PA11092304227,2015/11/24,183300,2015/11/24,2016/10/17
PA11100504425,2016/03/10,124920,2016/03/10,2016/10/17
PA11110105216,2015/11/25,267734,2015/11/25,2016/10/17
PA13030600593,2015/09/29,461715,2015/09/29,2016/10/17
PA13030600603,2015/12/21,465789,2015/12/21,2016/10/17
PA11092304205,2015/09/30,135969,2015/09/30,2016/10/17
PA11092304205,2015/09/30,514535,2015/09/30,2016/10/17
PA11102705051,2015/11/25,324444,2015/11/25,2016/10/17
PA11092104152,2016/03/11,181976,2016/03/11,2016/10/17
PA13033101294,2015/11/24,92400,2015/11/24,2016/10/17
PA11091404057,2015/09/30,95510,2015/09/30,2016/10/17
PA11042301461,2012/12/30,137574,2012/12/30,2016/10/17
PA11040801081,2016/03/10,565419,2016/03/10,2016/10/17
PA11091904122,2016/02/23,102589,2016/02/23,2016/10/17
PA11093004383,2015/11/25,367186,2015/11/25,2016/10/17
PA11082103702,2015/09/29,237660,2015/09/29,2016/10/17
PA11090603959,2016/02/21,221461,2016/02/21,2016/10/17
PA11092904355,2015/11/25,315654,2015/11/25,2016/10/17
PA11090803992,2016/02/21,303409,2016/02/21,2016/10/17
PA11082603788,2015/11/25,431255,2015/11/25,2016/10/17
PA11092004148,2015/11/25,444160,2015/11/25,2016/10/17
PA11101704785,2015/11/25,473422,2015/11/25,2016/10/17
PA11092304225,2016/02/17,376540,2016/02/17,2016/10/17
PA11101304651,2013/01/24,50734,2013/01/24,2016/10/17
PA11102504971,2013/02/26,375163,2013/02/26,2016/10/17
PA13030600592,2015/12/21,169829,2015/12/21,2016/10/17
PA13033101284,2016/02/21,132145,2016/02/21,2016/10/17
PA11100704452,2015/09/30,31670,2015/09/30,2016/10/17
PA11102004885,2015/11/25,742870,2015/11/25,2016/10/17
PA11111705482,2015/12/21,92659,2015/12/21,2016/10/17
PA12021200448,2016/02/20,373530,2016/02/20,2016/10/17
PA11120205748,2015/09/30,256080,2015/09/30,2016/10/17
PA12021300451,2016/08/25,66541,2016/08/25,2016/10/17
PA12031401108,2016/03/11,169384,2016/03/11,2016/10/17
PA13022700454,2016/03/11,120090,2016/03/11,2016/10/17
PA11122506093,2016/02/21,112835,2016/02/21,2016/10/17
PA11112905683,2016/02/21,154761,2016/02/21,2016/10/17
PA13032901221,2015/09/29,147054,2015/09/29,2016/10/17
PA12022600683,2015/11/25,457062,2015/11/25,2016/10/17
PA12022800706,2016/02/21,69002,2016/02/21,2016/10/17
PA12011300187,2015/11/24,250403,2015/11/24,2016/10/17
PA12030600883,2015/11/24,172203,2015/11/24,2016/10/17
PA11103005127,2015/11/25,256617,2015/11/25,2016/10/17
PA12021000413,2016/02/21,28947,2016/02/21,2016/10/17
PA11120905915,2016/02/23,121010,2016/02/23,2016/10/17
PA12020900398,2016/05/31,93212,2016/05/31,2016/10/17
PA12022600686,2015/11/25,185033,2015/11/25,2016/10/17
PA11121906026,2016/02/17,355898,2016/02/17,2016/10/17
PA11100904506,2015/09/30,145727,2015/09/30,2016/10/17
PA12013100287,2016/02/21,59611,2016/02/21,2016/10/17
PA11101304652,2015/11/25,368684,2015/11/25,2016/10/17
PA11093004396,2015/11/25,229023,2015/11/25,2016/10/17
PA11101504734,2016/02/21,98167,2016/02/21,2016/10/17
PA12010600073,2015/11/24,73078,2015/11/24,2016/10/17
PA11120705858,2015/12/21,361294,2015/12/21,2016/10/17
PA11120705874,2015/11/24,143868,2015/11/24,2016/10/17
PA11121405968,2015/09/30,55082,2015/09/30,2016/10/17
PA11120605852,2015/09/30,695686,2015/09/30,2016/10/17
PA13030500588,2015/09/30,405990,2015/09/30,2016/10/17
PA12020500353,2015/11/24,214198,2015/11/24,2016/10/17
PA12020500354,2016/02/23,109456,2016/02/23,2016/10/17
PA12032701374,2015/11/24,369221,2015/11/24,2016/10/17
PA11122306076,2015/11/24,339574,2015/11/24,2016/10/17
PA12020200326,2015/11/24,60769,2015/11/24,2016/10/17
PA13022800464,2016/05/13,20920,2016/05/13,2016/10/17
PA12030800959,2016/02/23,188034,2016/02/23,2016/10/17
PA12031901176,2016/02/21,45597,2016/02/21,2016/10/17
PA12031201054,2016/02/23,163047,2016/02/23,2016/10/17
PA12020600358,2016/02/21,125570,2016/02/21,2016/10/17
PA12021000408,2016/02/21,86763,2016/02/21,2016/10/17
PA12020300330,2015/11/25,542803,2015/11/25,2016/10/17
PA11113005701,2012/12/30,186729,2012/12/30,2016/10/17
PA12031801171,2016/02/21,181723,2016/02/21,2016/10/17
PA12010300008,2015/11/24,64489,2015/11/24,2016/10/17
PA12020700364,2016/02/23,65315,2016/02/23,2016/10/17
PA13031500755,2016/05/30,71240,2016/05/30,2016/10/17
PA11120505819,2016/02/21,117103,2016/02/21,2016/10/17
PA12020500355,2015/11/24,90376,2015/11/24,2016/10/17
PA11121205941,2015/11/24,73318,2015/11/24,2016/10/17
