PA13033001253,06,1,416000,2013/03/30,2017/05/15,,,,0,,,2016/10/31
PA11041201143,06,1,293250,2011/04/02,2016/07/15,,0,,0,,,2016/10/31
PA13030100478,06,1,720000,2013/02/28,2018/03/15,,,,0,,,2016/10/31
PA13030100482,06,1,673200,2013/02/26,2018/03/15,,,,0,,,2016/10/31
PA11051201853,06,1,686800,2011/05/16,2016/06/15,,,,0,,,2016/10/31
PA11050701735,06,1,652000,2011/05/11,2017/06/15,,,,0,,,2016/10/31
PA11042201422,06,1,774000,2011/04/19,2016/11/15,,0,,,,,2016/10/31
PA11052402087,06,1,1273000,2011/05/12,2016/09/15,,0,,0,,,2016/10/31
PA13022800466,06,1,560000,2013/03/15,2018/02/15,,0,,0,,,2016/10/31
PA13022700449,06,1,320000,2013/03/06,2017/03/15,,0,,0,,,2016/10/31
PA13022700449,06,1,320000,2013/03/06,2017/03/15,,0,,0,,,2016/10/31
PA13030100475,06,1,328000,2013/03/16,2017/04/15,,0,,0,,,2016/10/31
PA13030100475,06,1,328000,2013/03/16,2017/04/15,,0,,0,,,2016/10/31
PA11041801360,06,1,783000,2011/04/18,2016/11/15,,0,,,,,2016/10/31
PA11053102191,06,1,493000,2011/07/06,2016/06/15,,0,,0,,,2016/10/31
PA11060702321,06,1,252000,2011/06/07,2015/06/15,,0,,0,,,2016/10/31
PA11040200964,06,1,816000,2011/03/25,2016/07/15,,0,,0,,,2016/10/31
PA11040200964,06,1,816000,2011/03/25,2016/07/15,,0,,0,,,2016/10/31
PA13030100483,06,1,268000,2013/02/27,2017/03/15,,,,0,,,2016/10/31
PA11082603800,06,1,671500,2011/09/05,2017/01/15,,,,0,,,2016/10/31
PA11092304227,06,1,501500,2011/09/30,2017/02/15,,,,0,,,2016/10/31
PA11100504425,06,1,510000,2011/09/30,2017/05/15,,,,0,,,2016/10/31
PA11110105216,06,1,297500,2011/10/29,2016/11/15,,,,0,,,2016/10/31
PA13030600593,06,1,720000,2013/03/04,2019/03/15,,,,0,,,2016/10/31
PA13030600603,06,1,640000,2013/03/07,2018/04/15,,,,0,,,2016/10/31
PA11092304205,06,1,855000,2011/09/24,2017/04/15,,,,0,,,2016/10/31
PA11092904368,06,1,1003000,2011/10/24,2017/02/15,,,,0,,,2016/10/31
PA11102705051,06,1,357000,2011/10/27,2016/11/15,,,,0,,,2016/10/31
PA11092104152,06,1,350200,2011/09/21,2017/05/15,,0,,0,,,2016/10/31
PA11092104152,06,1,350200,2011/09/21,2017/05/15,,0,,0,,,2016/10/31
PA13033101294,06,1,255000,2013/03/24,2017/04/15,,,,0,,,2016/10/31
PA11091404057,06,1,756000,2011/09/27,2017/04/15,,,,0,,,2016/10/31
